goldID	organismName	ncbiBioprojectID	ncbiTaxID	Ecosystem	EcosystemCategory	EcosystemType
Gb0006465	Corynebacterium diphtheriae HC02	PRJNA42411	698968	Host-associated	Animal	Circulatory system
Gb0006466	Corynebacterium diphtheriae CDCE 8392	PRJNA42405	698965	Host-associated	Human	Unclassified
Gb0006467	Candidatus Poribacteria sp. WGA-A3	PRJNA42397	700750	Host-associated	Porifera	Unclassified
Gb0006468	Pseudomonas syringae pv. maculicola M6	PRJNA42385	698750	Host-associated	Plants	Unclassified
Gb0006469	Turicibacter sp. HGF1	PRJNA59523	910310	Host-associated	Human	Unclassified
Gb0006485	Mycobacterium tuberculosis CTRI-3	PRJNA43173	707236	Host-associated	Human	Unclassified
Gb0006486	Staphylococcus aureus aureus MR1	PRJNA40705	680649	Host-associated	Human	Unclassified
Gb0006488	Mycobacterium indicus pranii MTCC 9506	PRJNA33469	1232724	Host-associated	NA	NA
Gb0006489	Salmonella enterica salamae ATCC BAA-1582	PRJNA28781	523838	Host-associated	Human	Unclassified
Gb0006491	Wolbachia sp. (Wuchereria bancrofti)	PRJNA43539	96496	Host-associated	Animal	Unclassified
Gb0006494	Mycobacterium tuberculosis SUMu009	PRJNA43619	675520	Host-associated	NA	NA
Gb0006496	Listeria monocytogenes FSL F2-208	PRJNA42847	702458	Host-associated	Human	Circulatory system
Gb0006497	Escherichia coli EC536	PRJNA42821	702436	Host-associated	Animal	Unclassified
Gb0006498	Escherichia coli EC4127	PRJNA42815	702433	Host-associated	Animal	Unclassified
Gb0006499	Bacteroides xylanisolvens SD CC 1b	PRJNA42773	702447	Host-associated	Human	Unclassified
Gb0006500	Vibrio harveyi BB120, ATCC BAA-1116	PRJNA42765	702450	Environmental	Aquatic	Marine
Gb0006501	Salmonella enterica enterica sv Typhi Ty2	PRJNA42753	702442	Host-associated	NA	NA
Gb0006502	Vibrio parahaemolyticus RIMD 2210633	PRJNA42417	698970	Host-associated	Unclassified	Unclassified
Gb0006504	Lactobacillus plantarum WCFS1	PRJNA42399	698962	Host-associated	Human	Digestive system
Gb0006507	Xylella fastidiosa Temecula1	PRJNA43087	706194	Host-associated	Plants	Unclassified
Gb0006510	Salmonella enterica enterica sv Typhi Ty2	PRJNA54027	908340	Host-associated	NA	NA
Gb0006512	Paenibacillus sp. HGF5	PRJNA54029	908341	Host-associated	Human	Unclassified
Gb0006513	Paenibacillus sp. HGF7	PRJNA61827	944559	Host-associated	Human	Unclassified
Gb0006515	Prevotella salivae DSM 15606	PRJNA53199	888832	Host-associated	Human	Digestive system
Gb0006516	Citrobacter freundii 4_7_47CFAA	PRJNA46379	742730	Host-associated	Human	Unclassified
Gb0006519	Saccharibacillus sacchari GR21, DSM 19268	PRJNA76571	456493	Host-associated	Plants	Unclassified
Gb0006520	Vibrio parahaemolyticus RIMD 2210633	PRJNA39743	661087	Host-associated	Unclassified	Unclassified
Gb0006521	Lachnospiraceae bacterium 5_1_57FAA	PRJNA39387	658085	Host-associated	Human	Digestive system
Gb0006527	Clostridium difficile CIP 107932	PRJNA28561	499176	Host-associated	Human	Digestive system
Gb0006529	Streptococcus sanguinis SK1059	PRJNA53187	888823	Host-associated	Human	Unclassified
Gb0006530	Tropheryma whipplei TW08/27	PRJNA42423	698973	Host-associated	Human	Nervous system
Gb0006543	Streptococcus pneumoniae BS455	PRJNA33845	595501	Host-associated	Human	Unclassified
Gb0006545	Barnesiella intestinihominis YIT 11860	PRJNA46375	742726	Host-associated	Human	Digestive system
Gb0006546	Alistipes indistinctus YIT 12060	PRJNA46373	742725	Host-associated	Human	Digestive system
Gb0006547	Slackia piriformis YIT 12062	PRJNA46425	742818	Host-associated	Human	Digestive system
Gb0006548	Collinsella tanakaei YIT 12063	PRJNA46403	742742	Host-associated	Human	Digestive system
Gb0006549	Fusobacterium sp. 21_1A	PRJNA32475	469601	Host-associated	Human	Digestive system
Gb0006551	Salmonella enterica houtenae ATCC BAA-1581	PRJNA28767	523831	Host-associated	Human	Unclassified
Gb0006553	Enterococcus faecium C68	PRJNA34867	565664	Host-associated	NA	NA
Gb0006557	Pseudoalteromonas flavipulchra 2ta6	PRJNA46513	650201	Host-associated	Cnidaria	Unclassified
Gb0006559	Saccharomyces cerevisiae YJM428	PRJNA60215	4932	Host-associated	Unclassified	Unclassified
Gb0006563	Bacillus cereus AH1123	PRJNA42085	695752	Host-associated	NA	NA
Gb0006565	syncytium symbiont of Diaphorina citri	PRJNA39873	669502	Host-associated	Insecta	Unclassified
Gb0006566	Dialister succinatiphilus YIT 11850	PRJNA46405	742743	Host-associated	Human	Digestive system
Gb0006567	Acinetobacter baumannii AB058	PRJNA43429	710095	Host-associated	Human	Circulatory system
Gb0006568	Mycobacterium tuberculosis SUMu007	PRJNA43615	675518	Host-associated	NA	NA
Gb0006569	Mycobacterium tuberculosis SUMu004	PRJNA43609	675515	Host-associated	NA	NA
Gb0006570	Xylella fastidiosa Temecula1	PRJNA43549	713605	Host-associated	Plants	Unclassified
Gb0006573	Megasphaera micronuciformis F0359	PRJNA43125	706434	Host-associated	Human	Digestive system
Gb0006574	Selenomonas noxia F0398	PRJNA43115	702437	Host-associated	Animal	Digestive system
Gb0006580	Buchnera aphidicola Bp	PRJNA42137	696406	Host-associated	Insecta	Unclassified
Gb0006581	Bacillus cereus AH819	PRJNA41999	694567	Host-associated	NA	NA
Gb0006584	Streptococcus ratti FA-1	PRJNA42513	699248	Host-associated	Mammals	Unclassified
Gb0006585	Streptomyces ipomoeae 91-03	PRJNA42363	698759	Host-associated	Plants	Unclassified
Gb0006587	Actinobacillus suis H91-0380	PRJNA42159	696748	Host-associated	Mammals	Unclassified
Gb0006589	Bacillus cereus AH535	PRJNA42083	695751	Host-associated	NA	NA
Gb0006591	Faecalibacterium cf. prausnitzii KLE1255	PRJNA46809	748224	Host-associated	Human	Unclassified
Gb0006592	Achromobacter xylosoxidans NH44784-1996	PRJNA40627	85698	Host-associated	Unclassified	Unclassified
Gb0006593	Campylobacter jejuni jejuni IA3902	PRJNA28907	567106	Host-associated	Mammals	Reproductive system
Gb0006594	Leuconostoc mesenteroides cremoris KFRI-MG	PRJNA18679	427140	Host-associated	NA	NA
Gb0006600	Ignicoccus hospitalis KIN4/I, DSM 18386	PRJNA34809	703339	Environmental	Aquatic	Marine
Gb0006603	Escherichia coli O6:K2:H1 CFT073 (UPEC)	PRJNA33807	637988	Host-associated	Human	Unclassified
Gb0006605	Pseudomonas putida KT2440	PRJNA38161	647227	Engineered	Lab synthesis	Unclassified
Gb0006606	Mycoplasma penetrans HF-2	PRJNA43129	706437	Host-associated	NA	NA
Gb0006607	Streptococcus mutans UA159	PRJNA39293	658599	Host-associated	Human	Digestive system
Gb0006608	Bifidobacterium longum NCC2705	PRJNA42001	694568	Host-associated	Human	Digestive system
Gb0006611	Vibrio cholerae Amazonia/FG1066	PRJNA43095	707239	Host-associated	Human	Unclassified
Gb0006612	Parasutterella excrementihominis YIT 11859	PRJNA48497	762966	Host-associated	Human	Digestive system
Gb0006613	Paraprevotella xylaniphila YIT 11841	PRJNA48503	762982	Host-associated	Human	Digestive system
Gb0006614	Succinatimonas hippei YIT 12066	PRJNA48507	762983	Host-associated	Human	Digestive system
Gb0006615	Bacteroides oleiciplenus YIT 12058	PRJNA46377	742727	Host-associated	Human	Digestive system
Gb0006616	Dysgonomonas mossii DSM 22836	PRJNA46411	742767	Host-associated	Human	Unclassified
Gb0006617	Lactobacillus fermentum CECT 5716	PRJNA43533	712938	Host-associated	Human	Digestive system
Gb0006620	Ciona intestinalis	PRJNA39757	663913	NA	NA	NA
Gb0006623	Bacteroides clarus YIT 12056	PRJNA48509	762984	Host-associated	Human	Digestive system
Gb0006624	Odoribacter laneus YIT 12061	PRJNA46423	742817	Host-associated	Human	Digestive system
Gb0006625	Megamonas funiformis YIT 11815	PRJNA46421	742816	Host-associated	Human	Digestive system
Gb0006626	Staphylococcus aureus A8819	PRJNA43719	553580	Host-associated	Human	Unclassified
Gb0006629	Mycobacterium tuberculosis SUMu005	PRJNA43611	675516	Host-associated	NA	NA
Gb0006630	Escherichia coli O6:K2:H1 CFT073 (UPEC)	PRJNA43603	675512	Host-associated	Human	Unclassified
Gb0006632	Streptococcus sanguinis SK678	PRJNA53179	888819	Host-associated	Human	Unclassified
Gb0006633	Streptococcus sanguinis SK1057	PRJNA53183	888821	Host-associated	Human	Unclassified
Gb0006634	Arcobacter butzleri JV22	PRJNA53195	888827	Host-associated	Animal	Digestive system
Gb0006637	Wolbachia sp. (Onchocerca volvulus)	PRJNA43537	77551	Host-associated	Animal	Unclassified
Gb0006638	Dysgonomonas gadei ATCC BAA-286	PRJNA46409	742766	Host-associated	Human	Unclassified
Gb0006639	Staphylococcus aureus A8796	PRJNA43715	553577	Host-associated	NA	NA
Gb0006640	Mus musculus C57BL/6J	PRJNA43713	553590	NA	NA	NA
Gb0006644	Brucella melitensis bv. 1 H0866	PRJNA47803	535338	Host-associated	NA	NA
Gb0006646	Vibrio furnissii CIP 102972	PRJNA40497	675811	Host-associated	Human	Digestive system
Gb0006647	Veillonella ratti ACS-216-V-Col6b	PRJNA52119	883156	Host-associated	Human	Reproductive system
Gb0006653	Megasphaera genomosp. type_1 28L	PRJNA42553	699218	Host-associated	Human	Reproductive system
Gb0006655	Lactobacillus salivarius CECT 5713	PRJNA43535	712961	Host-associated	Human	Digestive system
Gb0006656	Buchnera aphidicola LL01	PRJNA43505	713603	Host-associated	Insecta	Unclassified
Gb0006659	Streptococcus sanguinis SK1058	PRJNA53185	888822	Host-associated	Animal	Circulatory system
Gb0006660	Mycoplasma penetrans HF-2	PRJNA53189	888824	Host-associated	NA	NA
Gb0006662	Pseudomonas syringae pv. antirrhini 126	PRJNA42379	698755	Host-associated	NA	NA
Gb0006663	Candidatus Midichloria mitochondrii IricVA	PRJNA42125	696127	Host-associated	Arthropoda	Unclassified
Gb0006664	Bacillus cereus AH259	PRJNA42089	695754	Host-associated	NA	NA
Gb0006665	Bacillus cereus AH812	PRJNA42087	695753	Host-associated	NA	NA
Gb0006666	Aggregatibacter actinomycetemcomitans D7S-1	PRJNA41903	694569	Host-associated	Human	Digestive system
Gb0006667	Azospirillum sp. B510	PRJNA32551	137722	Host-associated	Plants	Unclassified
Gb0006669	Solobacterium moorei F0204	PRJNA43121	706433	Host-associated	Human	Digestive system
Gb0006670	Streptococcus mutans UA159	PRJNA42555	699246	Host-associated	Human	Digestive system
Gb0006671	Pseudomonas syringae pv. tomato JL1065	PRJNA42377	698756	Host-associated	Plants	Unclassified
Gb0006672	Streptomyces turgidiscabies Car8	PRJNA42361	698760	Host-associated	Plants	Unclassified
Gb0006678	Pantoea ananatis LMG 20103	PRJNA43085	706191	Host-associated	Plants	Unclassified
Gb0006679	Phascolarctobacterium sp. YIT 12067	PRJNA48505	626939	Host-associated	Human	Digestive system
Gb0006681	Campylobacter upsaliensis JV21	PRJNA53193	888826	Host-associated	Animal	Digestive system
Gb0006682	Agrobacterium vitis S4	PRJNA13372	311402	Host-associated	Plants	Unclassified
Gb0006683	Borrelia burgdorferi JD1	PRJNA29359	521008	Host-associated	Insecta	Unclassified
Gb0006684	Francisella tularensis holarctica URFT1	PRJNA19645	445226	Host-associated	Animal	Unclassified
Gb0006690	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	PRJNA29165	515615	NA	NA	NA
Gb0006691	Prevotella oulorum F0390	PRJNA43117	702438	Host-associated	Animal	Digestive system
Gb0006693	Escherichia coli EC4009	PRJNA42809	702430	Host-associated	Animal	Unclassified
Gb0006694	Enterococcus faecium PC4.1	PRJNA42757	791161	Host-associated	NA	NA
Gb0006696	Clostridium difficile M68	PRJNA42463	699037	Host-associated	Human	Unclassified
Gb0006697	Corynebacterium diphtheriae HC03	PRJNA42415	698969	Host-associated	Animal	Circulatory system
Gb0006698	Corynebacterium diphtheriae 241	PRJNA42407	698966	Host-associated	Human	Unclassified
Gb0006699	Corynebacterium diphtheriae PW8	PRJNA42403	698964	Host-associated	Human	Unclassified
Gb0006700	Francisella tularensis holarctica FTA (FTNF002-00)	PRJNA42395	698737	Host-associated	Human	Unclassified
Gb0006701	Shewanella oneidensis MR-1	PRJNA42383	698749	Environmental	Aquatic	Freshwater
Gb0006702	Anopheles gambiae PEST	PRJNA43169	707234	NA	NA	NA
Gb0006704	Plasmodium falciparum 3D7	PRJNA42391	698761	Host-associated	NA	NA
Gb0006709	Streptococcus agalactiae 2603V/R	PRJNA43171	707235	Host-associated	Unclassified	Unclassified
Gb0006710	Shewanella oneidensis MR-1	PRJNA39753	663958	Environmental	Aquatic	Freshwater
Gb0006713	Neisseria lactamica 020-06	PRJNA13472	489653	Host-associated	Mammals	Respiratory system
Gb0006724	Chlamydia trachomatis E/150	PRJNA43143	707184	Host-associated	Unclassified	Unclassified
Gb0006725	Chlamydia trachomatis G/11074	PRJNA43149	707187	Host-associated	Unclassified	Unclassified
Gb0006726	Mycobacterium tuberculosis CTRI-4	PRJNA43175	707237	Host-associated	Human	Unclassified
Gb0006727	Acidaminococcus sp. 4_1_13_G	PRJNA46363	742720	Host-associated	Human	Digestive system
Gb0006728	Bacteroides fluxus YIT 12057	PRJNA48511	763034	Host-associated	Human	Digestive system
Gb0006729	Escherichia coli O18:K1:H7 IHE3034	PRJNA43693	714962	Host-associated	Unclassified	Unclassified
Gb0006731	Mycobacterium tuberculosis SUMu003	PRJNA43607	675514	Host-associated	NA	NA
Gb0006732	Mycobacterium tuberculosis SUMu002	PRJNA43605	675513	Host-associated	NA	NA
Gb0006733	Bacteroides sp. 2_1_16	PRJNA38347	469587	Host-associated	Human	Unclassified
Gb0006738	Plasmodium falciparum 87_239	PRJNA38057	5833	Host-associated	NA	NA
Gb0006742	Neosartorya fischeri NRRL 181	PRJNA15672	331117	Host-associated	NA	NA
Gb0006748	Escherichia coli EC4205	PRJNA42819	702435	Host-associated	Animal	Unclassified
Gb0006750	Brucella suis bv 1, 1330	PRJNA50825	869209	Host-associated	Mammals	Unclassified
Gb0006751	Helicobacter suis HS5	PRJNA43417	710394	Host-associated	Mammals	Digestive system
Gb0006752	Staphylococcus aureus aureus WW2703/97	PRJNA39243	585161	Host-associated	NA	NA
Gb0006757	Mycobacterium tuberculosis SUMu012	PRJNA43625	675523	Host-associated	NA	NA
Gb0006758	Candida albicans 1161	PRJNA10771	5476	Host-associated	NA	NA
Gb0006759	Candida tropicalis MYA-3404	PRJNA13675	294747	Host-associated	NA	NA
Gb0006760	Streptococcus agalactiae NEM316	PRJNA15616	178876	Host-associated	Animal	Circulatory system
Gb0006773	Collinsella sp. 4_8_47FAA	PRJNA46367	742722	Host-associated	Human	Digestive system
Gb0006774	Eggerthella lenta 1_1_60AFAA	PRJNA46413	742768	Host-associated	Human	Digestive system
Gb0006775	Streptococcus anginosus 1_2_62CV	PRJNA46427	742820	Host-associated	Human	Digestive system
Gb0006776	Clostridium orbiscindens 1_3_50AFAA	PRJNA46395	742738	Host-associated	Human	Digestive system
Gb0006778	Sutterella wadsworthensis 2_1_59BFAA	PRJNA46431	742823	Host-associated	Human	Unclassified
Gb0006779	Fusobacterium necrophorum funduliforme 1_1_36S	PRJNA46417	742814	Host-associated	Human	Unclassified
Gb0006780	Amborella trichopoda	PRJNA46389	742735	Environmental	Terrestrial	Unclassified
Gb0006786	Clostridium citroniae WAL-19142	PRJNA46387	742734	Host-associated	Human	Digestive system
Gb0006790	Streptococcus agalactiae 2603V/R	PRJNA46429	742821	Host-associated	Unclassified	Unclassified
Gb0006791	Clostridium clostridioforme WAL-7855	PRJNA46391	742736	Host-associated	Human	Digestive system
Gb0006793	Ruminococcaceae bacterium 2_1_42A	PRJNA46371	742724	Host-associated	Human	Digestive system
Gb0006796	Clostridium aldenense WAL-18727	PRJNA46381	742731	Host-associated	Human	Digestive system
Gb0006797	Clostridium perfringens WAL-14572	PRJNA46397	1502	Host-associated	Human	Digestive system
Gb0006799	Clostridium bolteae WAL-14578	PRJNA46383	742732	Host-associated	Human	Digestive system
Gb0006802	Yersinia pestis KIM 10	PRJNA45793	716541	Host-associated	NA	NA
Gb0006804	Methanosarcina mazei Go1, DSM 3647	PRJNA52951	797303	Engineered	Wastewater	Unclassified
Gb0006805	Chlorobium tepidum TLS	PRJNA46385	742733	Environmental	Aquatic	Thermal springs
Gb0006806	Buchnera aphidicola Sg	PRJNA46399	742740	Host-associated	Insecta	Unclassified
Gb0006807	Staphylococcus aureus aureus MW2	PRJNA46401	742741	Host-associated	Plants	Unclassified
Gb0006812	Dorea formicigenerans 4_6_53AFAA	PRJNA46407	742765	Host-associated	Human	Digestive system
Gb0006813	Clostridium hathewayi WAL-18680	PRJNA46393	742737	Host-associated	Human	Digestive system
Gb0006814	Lachnospiraceae bacterium 2_1_46FAA	PRJNA46369	742723	Host-associated	Human	Digestive system
Gb0006815	Enterococcus saccharolyticus 30_1	PRJNA46415	742813	Host-associated	Human	Unclassified
Gb0006820	Yersinia pestis KIM 10	PRJNA46365	742721	Host-associated	NA	NA
Gb0006822	Trichophyton verrucosum HKI 0517	PRJNA39693	663202	Host-associated	NA	NA
Gb0006828	Escherichia coli B108	PRJNA86833	550673	Host-associated	Human	Unclassified
Gb0006846	Bubalus bubalis	PRJNA33659	89462	Host-associated	Human	Circulatory system
Gb0006850	Chlorobium tepidum TLS	PRJNA38537	63221	Environmental	Aquatic	Thermal springs
Gb0006872	Gardnerella vaginalis 00703Dmash	PRJNA42453	698960	Host-associated	NA	NA
Gb0006873	Gardnerella vaginalis 1400E	PRJNA42445	698956	Host-associated	NA	NA
Gb0006874	Gardnerella vaginalis 55152	PRJNA42443	698955	Host-associated	NA	NA
Gb0006875	Gardnerella vaginalis 6420B	PRJNA42441	698954	Host-associated	NA	NA
Gb0006876	Gardnerella vaginalis 6420LIT	PRJNA42439	698953	Host-associated	NA	NA
Gb0006877	Gardnerella vaginalis 0288E	PRJNA42437	698952	Host-associated	NA	NA
Gb0006878	Gardnerella vaginalis 75712	PRJNA42435	698951	Host-associated	NA	NA
Gb0006879	Gardnerella vaginalis 42431	PRJNA42431	698950	Host-associated	NA	NA
Gb0006881	Gardnerella vaginalis 6119V5	PRJNA42455	698961	Host-associated	NA	NA
Gb0006882	Gardnerella vaginalis 00703C2mash	PRJNA42451	698959	Host-associated	NA	NA
Gb0006883	Gardnerella vaginalis 00703Bmash	PRJNA42449	698958	Host-associated	NA	NA
Gb0006884	Gardnerella vaginalis 1500E	PRJNA42447	698957	Host-associated	NA	NA
Gb0006885	Helicobacter pylori B8	PRJNA41831	693745	Host-associated	Human	Digestive system
Gb0006886	Bartonella schoenbuchensis R1	PRJNA41447	545617	Host-associated	Mammals	Circulatory system
Gb0006887	Finegoldia magna HMS01	PRJNA51081	866779	Host-associated	Human	Unclassified
Gb0006888	Paenibacillus larvae larvae B-3650	PRJNA46259	741161	Host-associated	Insecta	Unclassified
Gb0006890	Xanthomonas axonopodis pv. citri 306	PRJNA46467	743974	Host-associated	Plants	Unclassified
Gb0006891	Taylorella equigenitalis ATCC 35865	PRJNA46465	743973	Host-associated	Mammals	Reproductive system
Gb0006893	Bartonella sp. 1-1C	PRJNA41449	515256	Host-associated	Mammals	Circulatory system
Gb0006894	Bartonella sp. AR 15-3	PRJNA41451	545617	Host-associated	Mammals	Circulatory system
Gb0006895	Bartonella rochalimae ATCC BAA-1498	PRJNA41337	685782	Host-associated	Human	Unclassified
Gb0006900	Bacillus amyloliquefaciens plantarum FZB42	PRJNA46461	743971	Environmental	Terrestrial	Soil
Gb0006901	Xanthomonas campestris pv campestris ATCC 33913	PRJNA46459	743968	Host-associated	Plants	Unclassified
Gb0006902	Streptomyces coelicolor A3(2)	PRJNA46457	743967	Engineered	Lab synthesis	Unclassified
Gb0006903	Caldanaerobacter subterraneus tengcongensis MB4T	PRJNA46463	743972	Environmental	Aquatic	Thermal springs
Gb0006904	Fusobacterium nucleatum nucleatum ATCC 25586	PRJNA46453	743965	Host-associated	Animal	Reproductive system
Gb0006905	Methanosarcina acetivorans C2A	PRJNA46279	743278	Environmental	Aquatic	Marine
Gb0006906	Oryza sativa L. ssp. indica	PRJNA46277	743277	NA	NA	NA
Gb0006907	Oryza sativa ssp. japonica	PRJNA45823	741093	NA	NA	NA
Gb0006908	Staphylococcus aureus RCH_S20	PRJNA67151	1035309	NA	NA	NA
Gb0006909	Streptococcus pyogenes M18, MGAS8232	PRJNA60553	717982	Host-associated	Animal	Respiratory system
Gb0006911	Erwinia amylovora CFBP 1430	PRJNA46805	665029	Host-associated	Plants	Unclassified
Gb0006916	Mycoplasma bovoculi M165/69	PRJNA46455	743966	Host-associated	Mammals	Unclassified
Gb0006918	Bordetella pertussis B1834	PRJNA46275	743276	Host-associated	Human	Unclassified
Gb0006919	Bordetella pertussis B1831	PRJNA46273	743275	Host-associated	Human	Unclassified
Gb0006920	Streptomyces coelicolor A3(2)	PRJNA46271	743274	Engineered	Lab synthesis	Unclassified
Gb0006921	Bordetella pertussis B0558	PRJNA46269	743273	Host-associated	Human	Unclassified
Gb0006922	Spiroplasma eriocheiris CCTCC 'M 207170'	PRJNA46263	743698	Host-associated	Arthropoda	Unclassified
Gb0006925	Pseudomonas fluorescens WH6	PRJNA46613	746360	Host-associated	Plants	Unclassified
Gb0006942	Encephalitozoon intestinalis ATCC 5050	PRJNA42703	876142	Host-associated	Mammals	Respiratory system
Gb0006944	Homo sapiens PUR Puerto Rican in Puerto Rico (1000 Genomes)	PRJNA42573	9606	Host-associated	NA	NA
Gb0006945	Coprobacillus sp. 29_1	PRJNA46361	469596	Host-associated	Human	Unclassified
Gb0006946	Mycoplasma alligatoris A21JP2	PRJNA46701	747682	Host-associated	Reptilia	Unclassified
Gb0006948	Enterococcus faecalis DAPTO 512	PRJNA47125	749489	Host-associated	Human	Unclassified
Gb0006949	Enterococcus faecalis DAPTO 516	PRJNA47127	749490	Host-associated	Human	Unclassified
Gb0006950	Methanosarcina acetivorans C2A	PRJNA47129	749491	Environmental	Aquatic	Marine
Gb0006951	Enterococcus faecalis TX2141	PRJNA47131	749492	Host-associated	Human	Unclassified
Gb0006952	Enterococcus faecalis TX4000	PRJNA47133	749493	Host-associated	Human	Unclassified
Gb0006953	Enterococcus faecalis TX4244	PRJNA47141	749494	Host-associated	Human	Unclassified
Gb0006963	Enterococcus faecalis TX4248	PRJNA47143	749495	Host-associated	Human	Unclassified
Gb0006964	Enterococcus faecalis TX0012	PRJNA47145	749496	Host-associated	Human	Unclassified
Gb0006965	Enterococcus faecalis TX0017	PRJNA47147	749497	Host-associated	Human	Unclassified
Gb0006966	Enterococcus faecalis TX0027	PRJNA47151	749498	Host-associated	Human	Unclassified
Gb0006967	Enterococcus faecalis TX0031	PRJNA47153	749499	Host-associated	Human	Unclassified
Gb0006968	Enterococcus faecalis TX0043	PRJNA47155	749500	Host-associated	Human	Unclassified
Gb0006969	Enterococcus faecalis TX0102	PRJNA47157	749501	Host-associated	Human	Unclassified
Gb0006970	Oryza sativa ssp. japonica	PRJNA47159	749502	NA	NA	NA
Gb0006971	Enterococcus faecalis TX0309A	PRJNA47161	749503	Host-associated	Human	Unclassified
Gb0006972	Enterococcus faecalis TX0309B	PRJNA47163	749504	Host-associated	Human	Unclassified
Gb0006973	Enterococcus faecalis TX0312	PRJNA47165	749505	Host-associated	Human	Unclassified
Gb0006974	Enterococcus faecalis TX0411	PRJNA47167	749506	Host-associated	Human	Unclassified
Gb0006975	Enterococcus faecalis TX0470	PRJNA47169	749507	Host-associated	Human	Unclassified
Gb0006976	Enterococcus faecalis TX0630	PRJNA47171	749508	Host-associated	Human	Unclassified
Gb0006977	Enterococcus faecalis TX0635	PRJNA47173	749509	Host-associated	Human	Unclassified
Gb0006978	Enterococcus faecalis TX0645	PRJNA47175	749510	Host-associated	Human	Unclassified
Gb0006979	Enterococcus faecalis TX0855	PRJNA47177	749511	Host-associated	Human	Unclassified
Gb0006980	Staphylococcus aureus RCH_S20	PRJNA47179	749512	NA	NA	NA
Gb0006981	Enterococcus faecalis TX1302	PRJNA47181	749513	Host-associated	Human	Unclassified
Gb0006982	Enterococcus faecalis TX1341	PRJNA47183	749514	Host-associated	Human	Unclassified
Gb0006983	Campylobacter jejuni jejuni S3	PRJNA45947	718271	Host-associated	Birds	Digestive system
Gb0006985	Enterococcus faecalis TX1342	PRJNA47185	749515	Host-associated	Human	Unclassified
Gb0006986	Enterococcus faecalis TX1346	PRJNA47187	749516	Host-associated	Human	Unclassified
Gb0006987	Enterococcus faecalis TX1467	PRJNA47189	749517	Host-associated	Human	Unclassified
Gb0006988	Enterococcus faecalis TX2134	PRJNA47191	749518	Host-associated	Human	Unclassified
Gb0006989	Enterococcus faecium TX0082	PRJNA47193	749520	Host-associated	Human	Unclassified
Gb0006990	Streptococcus pyogenes M18, MGAS8232	PRJNA47195	749521	Host-associated	Animal	Respiratory system
Gb0006991	Enterococcus faecium TX0133a01	PRJNA47197	749522	Host-associated	Human	Unclassified
Gb0006992	Enterococcus faecium TX0133a04	PRJNA47199	749523	Host-associated	Human	Unclassified
Gb0006993	Enterococcus faecium TX0133B	PRJNA47201	749524	Host-associated	Human	Unclassified
Gb0006994	Enterococcus faecium TX0133C	PRJNA47203	749525	Host-associated	Human	Unclassified
Gb0006995	Staphylococcus aureus aureus MRSA131	PRJNA47281	754025	Host-associated	Human	Unclassified
Gb0006996	Staphylococcus aureus aureus MRSA177	PRJNA47283	754026	Host-associated	Human	Unclassified
Gb0006999	Chlamydia trachomatis G/9301	PRJNA45851	718219	Host-associated	Unclassified	Unclassified
Gb0007000	Erwinia pyrifoliae Ep1/96	PRJNA45811	717522	Host-associated	Plants	Unclassified
Gb0007001	Parvibaculum lavamentivorans DS-1	PRJNA43761	716544	Engineered	Wastewater	Unclassified
Gb0007003	Methanoregula boonei 6A8	PRJNA43511	713600	Environmental	Aquatic	Freshwater
Gb0007004	Campylobacter curvus 525.92	PRJNA41945	694565	Host-associated	Human	Digestive system
Gb0007005	Campylobacter hominis ATCC BAA-381	PRJNA41943	694564	Host-associated	Human	Digestive system
Gb0007006	Campylobacter jejuni doylei 269.97	PRJNA41941	694563	Host-associated	Human	Circulatory system
Gb0007007	Yersinia pseudotuberculosis IP 31758	PRJNA41939	694562	Host-associated	Animal	Digestive system
Gb0007008	Arabidopsis halleri	PRJNA41937	694561	NA	NA	NA
Gb0007013	Listeria monocytogenes EGD-e	PRJNA42577	9606	Host-associated	Mammals	Unclassified
Gb0007014	Listeria innocua Clip11262	PRJNA42557	9606	Engineered	Food production	Dairy products
Gb0007015	Salmonella enterica enterica sv Typhimurium LT2	PRJNA42565	9606	Host-associated	Human	Unclassified
Gb0007016	Staphylococcus aureus RCH_S21	PRJNA42561	9606	NA	NA	NA
Gb0007027	Streptococcus pneumoniae TIGR4	PRJNA29427	523796	Host-associated	Human	Circulatory system
Gb0007036	Staphylococcus aureus aureus M	PRJNA42571	9606	Host-associated	Human	Unclassified
Gb0007046	Thermoplasma volcanium GSS1	PRJNA39263	447095	Environmental	Aquatic	Marine
Gb0007066	Thermotoga maritima MSB8	PRJNA46419	742815	Environmental	Aquatic	Marine
Gb0007080	Arabidopsis halleri	PRJNA174918	368624	NA	NA	NA
Gb0007104	Listeria innocua Clip11262	PRJNA41515	9606	Engineered	Food production	Dairy products
Gb0007131	Giardia intestinalis ATCC 50581	PRJNA33815	598745	Host-associated	Human	Unclassified
Gb0007132	Giardia lamblia P15	PRJNA39315	658858	Host-associated	Mammals	Unclassified
Gb0007133	Homo sapiens KHV Kinh in Ho Chi minh City, Vietnam (1000 Genomes)	PRJNA42575	9606	Host-associated	NA	NA
Gb0007134	Homo sapiens GWD Gambian in Western Division, Gambia (1000 Genomes)	PRJNA42563	9606	Host-associated	NA	NA
