organism	NCBI_taxonomy_id	NCBI_bioProjectAccession	NCBI_bioProjectID	Group	SubGroup	A1le	T1le	G1le	C1le	A2le	T2le	G2le	C2le	A4le	T4le	G4le	C4le	A1la	T1la	G1la	C1la	A2la	T2la	G2la	C2la	A4la	T4la	G4la	C4la	genomicGC	ioAle	ioTle	ioGle	ioCle	genes	genomicLen	habitatNCBI	habitatGold	habitatImg
NC_004552	Chlamydophila abortus S26/3	218497	PRJNA57963	57963	Chlamydiae/Verrucomicrobia group	Chlamydiae	96751	82395	89459	63894	30682	38668	14602	15489	19174	31088	11928	12579	94402	75783	71668	66822	29167	31183	8527	18789	19243	27141	9978	14718	39.87	27446	28377	19865	17012	933	1144377	HostAssociated	Host-associated	Host-associated
NC_000918	Aquifex aeolicus VF5	224324	PRJNA57765	57765	Aquificae	Aquificae	150330	115012	126389	75565	47684	25390	31316	38057	25369	29470	18726	24946	151313	111297	125188	74909	47486	24355	31388	37896	25602	28391	18523	24811	43.48	17058	17467	12853	12687	1529	1551335	Specialized	NA	NA
NC_014656	Bifidobacterium longum subsp. longum BBMN68	890402	PRJNA60163	60163	Actinobacteria	Actinobacteria	231647	182588	275440	196429	20928	30697	48237	92528	17477	33201	78100	120515	94159	76058	109727	83292	8731	14777	18713	37497	8987	11874	33980	47524	59.95	44976	44496	66244	66580	1806	2265943	NA	Host-associated	Host-associated
NC_008578	Acidothermus cellulolyticus 11B	351607	PRJNA58501	58501	Actinobacteria	Actinobacteria	184309	184880	322615	232310	16153	29274	40466	100436	22063	33385	125546	126364	95681	95118	162916	126421	9584	13182	17841	53519	14399	14925	59812	71171	66.91	23143	24810	48272	46427	2157	2443540	Aquatic	Environmental	Environmental
NC_016914	Rickettsia rickettsii str. Hino	1105100	PRJNA86657	86657	Proteobacteria	Alphaproteobacteria	131563	88230	88809	59480	42219	50612	11494	12602	22147	31301	8970	7512	89922	60928	55002	40377	28583	33045	5971	10760	15323	19482	4868	6049	32.45	76078	74523	38993	33753	1335	1269837	NA	NA	NA
NC_007954	Shewanella denitrificans OS217	318161	PRJNA58263	58263	Proteobacteria	Gammaproteobacteria	439376	329875	424632	292242	111843	158193	67979	90621	66015	104972	75144	96837	296079	216125	264979	199879	77522	96257	38560	69341	43450	60131	41617	77495	45.15	123744	126827	109245	98666	3754	4545906	Aquatic	Environmental	Environmental
NC_015496	Krokinobacter sp. 4H-3-7-5	983548	PRJNA66593	66593	Bacteroidetes/Chlorobi group	Bacteroidetes	355764	246964	288606	192059	90807	123887	41464	49322	91329	88541	29388	24892	303472	205393	227111	161804	78991	95203	27561	51186	72474	72290	19770	26713	37.29	50062	51226	31032	28535	2979	3389993	NA	Environmental	Environmental
NC_015428	Lactobacillus buchneri NRRL B-30929	511437	PRJNA66205	66205	Firmicutes	Bacilli	311191	215014	254383	175568	62220	94117	47687	69835	43076	61241	49858	61552	132601	93234	103114	77489	27133	36679	16993	33960	19073	22712	19272	31439	44.42	65600	65572	54513	50314	2325	2506301	Multiple	NA	Engineered
NC_010465	Yersinia pseudotuberculosis YPIII	502800	PRJNA59151	59151	Proteobacteria	Gammaproteobacteria	419994	334008	440772	304205	90865	147171	67647	104229	62674	102611	114156	94443	289309	224341	282109	210890	65916	94295	39348	76156	46103	62053	66282	75076	47.53	136548	141248	132651	120052	4192	4689441	Multiple	Host-associated	Host-associated
NC_014554	Lactobacillus plantarum subsp. plantarum ST-III	889932	PRJNA53537	53537	Firmicutes	Bacilli	386774	280591	352673	250346	85020	139980	58197	79594	66146	85624	87641	62159	135811	97708	111229	94064	29979	40296	14022	34990	22116	29247	20518	33497	44.58	108742	109795	97353	79013	2996	3254376	NA	NA	Engineered
NC_010658	Shigella boydii CDC 3083-94	344609	PRJNA58415	58415	Proteobacteria	Gammaproteobacteria	339637	272176	369525	258619	68744	87597	49103	109959	44248	75495	119428	86101	282767	227003	302285	218757	57625	71957	38908	93700	38995	60452	93972	77177	51.33	201019	204637	215931	208085	4246	4615997	HostAssociated	Engineered	Host-associated
NC_014802	Campylobacter jejuni subsp. jejuni ICDCCJ07001	757425	PRJNA61249	61249	Proteobacteria	delta/epsilon subdivisions	211729	142760	146612	86430	75058	93380	16641	12572	29915	52983	9511	8673	119870	79406	74867	49136	43545	47927	5209	11104	17710	26450	3562	7274	30.6	59369	60061	29565	23113	1497	1664840	NA	Host-associated	Host-associated
NC_014251	Streptococcus pneumoniae TCH8431/19A	525381	PRJNA49735	49735	Firmicutes	Bacilli	295859	214483	247744	166178	74686	98383	45914	47852	57316	81113	26396	36336	83355	59963	61423	47296	21743	24131	9465	16835	14749	21606	5379	12649	39.84	42713	42312	29811	25090	2275	2088772	NA	Host-associated	Host-associated
NC_015555	Thermoanaerobacterium xylanolyticum LX-11	858215	PRJNA63163	63163	Firmicutes	Clostridia	427248	289023	316436	173425	126339	142130	55465	53308	84189	83365	32518	26614	76485	53410	51947	33362	22339	23281	7189	12170	16403	14547	4092	6290	34.98	60487	52444	36411	25875	2346	2534358	NA	Environmental	Environmental
NC_014828	Ethanoligenens harbinense YUAN-3	663278	PRJNA46255	46255	Firmicutes	Clostridia	257830	209781	285494	191641	38044	54631	45943	94060	22007	31524	109387	93140	196145	153603	199980	144604	30739	36431	29494	73708	20695	22035	67240	74907	55.56	69223	71701	85933	79811	2701	3008576	NA	NA	Engineered
NC_011296	Thermodesulfovibrio yellowstonii DSM 11347	289376	PRJNA59257	59257	Nitrospirae	Nitrospira	220163	158885	164418	107936	77002	69174	27181	22227	48747	56216	9690	13293	190945	137356	137995	92457	68200	57756	18626	20212	42848	46560	7386	12599	34.13	21823	22526	11701	11453	2033	2003803	Specialized	Environmental	Environmental
NC_016077	Acidaminococcus intestini RyC-MR95	568816	PRJNA74445	74445	Firmicutes	Negativicutes	329174	244925	330639	222783	58991	80173	50688	81017	36247	68921	74052	104506	79333	63106	74199	57412	15778	18759	10034	20591	10825	15278	13580	28464	50.02	55964	54971	57164	52209	2401	2487765	HostAssociated	NA	Host-associated
NC_016779	Bacillus cereus F837/76	347495	PRJNA83611	83611	Firmicutes	Bacilli	700614	497846	569581	349346	237188	253664	66309	77580	176598	147039	76571	30351	235857	176141	171317	131140	76252	79421	13672	36615	56855	58045	15539	19057	35.37	153321	139573	91989	67313	5373	5222906	Terrestrial	Host-associated	Host-associated
NC_015381	Burkholderia gladioli BSR3	999541	PRJNA66301	66301	Proteobacteria	Betaproteobacteria	330112	298953	486444	351351	20105	36156	79247	173301	12997	21421	213728	207488	215103	197112	311715	241498	14723	20774	47574	119328	9726	10329	134170	148028	67.48	66388	67513	141361	135618	3779	4413616	NA	Host-associated	Host-associated
NC_013720	Pirellula staleyi DSM 6068	530564	PRJNA43209	43209	Planctomycetes	Planctomycetia	441859	360288	539633	414980	66704	94365	78916	151910	61988	89730	164959	182054	428665	345601	510063	409763	68100	83232	70588	153269	61030	81968	154535	183896	57.46	122365	126022	169663	164874	4718	6196199	Aquatic	Environmental	Environmental
NC_006576	Synechococcus elongatus PCC 6301	269084	PRJNA58235	58235	Cyanobacteria	Oscillatoriophycideae	193079	170061	242019	189626	36500	56640	39781	71354	30303	45478	70583	77737	172216	151798	213492	167261	32908	49523	34081	63332	28815	37930	57778	73393	55.48	42575	43401	53851	52453	2523	2696255	Aquatic	Environmental	Environmental
NC_010645	Bordetella avium 197N	360910	PRJNA61563	61563	Proteobacteria	Betaproteobacteria	282304	258869	403682	284880	30767	71790	69207	113521	20274	53147	142410	150148	209333	182999	279443	212521	29210	37459	36270	98079	20103	25722	90729	128199	61.58	47360	53293	83828	76358	3392	3732255	HostAssociated	Host-associated	Host-associated
NC_007426	Natronomonas pharaonis DSM 2160	348780	PRJNA58435	58435	Euryarchaeota	Halobacteria	185117	150523	265350	173616	19842	20079	36701	90961	20068	26938	73671	107377	177857	144335	259688	165048	19828	18282	36902	88834	22773	22274	76652	100489	63.44	18381	18686	31673	32128	2659	2595221	Aquatic	Environmental	NA
NC_009921	Frankia sp. EAN1pec	298653	PRJNA58367	58367	Actinobacteria	Actinobacteria	496599	501295	946693	675442	23250	32035	121279	337769	41244	56318	388274	425420	414136	404745	768413	575749	22266	26222	94486	281182	41851	41366	307347	361978	71.15	152901	159859	389478	378848	7191	8982042	Multiple	Host-associated	Host-associated
NC_015703	Runella slithyformis DSM 19594	761193	PRJNA68317	68317	Bacteroidetes/Chlorobi group	Bacteroidetes	602708	451841	533196	373628	133674	182502	87174	144542	78044	96082	142577	143351	536170	399377	453042	337365	122857	146163	66183	140709	69503	80919	107347	146832	46.59	136937	139069	124594	114873	5472	6568739	Aquatic	Environmental	Environmental
NC_010483	Thermotoga sp. RQ2	126740	PRJNA58935	58935	Thermotogae	Thermotogae	190607	154466	176905	103160	57751	33642	37606	50900	28689	39164	38066	33789	158216	127243	143875	86299	49190	25943	27272	43989	26039	29982	29215	30499	46.18	15733	16632	13694	13326	1819	1877693	Specialized	Environmental	Environmental
NC_009718	Fervidobacterium nodosum Rt17-B1	381764	PRJNA58625	58625	Thermotogae	Thermotogae	192090	138014	140701	84746	66577	56918	19853	28215	39312	42981	12037	12550	197490	144391	145658	87115	66057	59393	22449	29381	39090	44854	14279	12741	34.99	32844	34857	17381	18857	1750	1948941	Specialized	Environmental	Environmental
NC_010602	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	456481	PRJNA58993	58993	Spirochaetes	Spirochaetia	383905	303839	300045	216675	127126	136103	38247	59217	77494	81722	43966	53419	305831	238850	224111	173537	101170	102751	24177	52003	63937	59586	30195	46229	38.89	35595	37272	22985	21618	3391	3599677	Multiple	Environmental	Environmental
NC_010524	Leptothrix cholodnii SP-6	395495	PRJNA58971	58971	Proteobacteria	Betaproteobacteria	337051	303009	503083	360974	17497	26397	82789	198121	10933	22535	210170	227636	308352	274139	464470	341061	17931	19938	71326	191141	13478	15269	194024	215689	68.9	26767	27353	60115	59059	4363	4909403	Aquatic	Environmental	Environmental
NC_013198	Lactobacillus rhamnosus GG	568703	PRJNA59313	59313	Firmicutes	Bacilli	350574	253679	325674	235696	71212	120476	57416	72935	54277	72869	82531	72696	141246	106781	123834	102985	30514	43903	17642	34564	21829	29734	26481	38877	46.69	76881	76243	72075	62211	2913	3010111	Multiple	NA	Host-associated
NC_013316	Clostridium difficile R20291	645463	PRJNA40921	40921	Firmicutes	Clostridia	667910	434836	458757	236779	231771	255180	55406	48499	151139	130906	19329	12485	142150	97138	88015	55343	46126	53130	9268	14821	27701	32892	3279	4669	28.81	210947	178773	95630	62345	3517	4191139	Multiple	NA	Engineered
NC_010612	Mycobacterium marinum M	216594	PRJNA59423	59423	Actinobacteria	Actinobacteria	443944	415867	736274	489400	38298	75878	103368	235562	50952	70763	277221	268101	373147	337017	599561	420456	34190	53107	72680	203544	51516	44864	203270	256720	65.73	66391	70496	134351	126612	5423	6636827	Multiple	Environmental	Host-associated
NC_007775	Synechococcus sp. JA-3-3Ab	321327	PRJNA58535	58535	Cyanobacteria	Oscillatoriophycideae	183989	171614	245229	186620	26220	41817	53807	85432	20824	29339	83538	95184	182400	168517	241891	184632	26468	41092	53823	83487	20870	29010	82511	93615	60.24	58125	57853	86833	87375	2760	2932766	Specialized	Environmental	Environmental
NC_010556	Exiguobacterium sibiricum 255-15	262543	PRJNA58053	58053	Firmicutes	Bacilli	364491	280252	350465	243727	93591	101447	48282	88151	65577	60000	101551	77615	134978	112858	124103	99297	32606	38933	16073	36475	21572	25580	34136	36676	47.72	44122	40287	41584	36198	3013	3034136	Specialized	Environmental	Environmental
NC_010397	Mycobacterium abscessus ATCC 19977	561007	PRJNA61613	61613	Actinobacteria	Actinobacteria	410789	379597	626610	437994	33949	70244	100444	200079	52025	66478	237717	224339	257017	235286	375468	283709	22307	36530	53169	130441	37998	31908	129995	161723	64.13	29118	30131	53907	50638	4920	5067172	Multiple	Host-associated	Host-associated
NC_016941	Staphylococcus aureus subsp. aureus MSHR1132	985002	PRJNA89393	89393	Firmicutes	Bacilli	404198	263572	289306	187115	141225	157162	26314	39204	89896	85553	26132	15541	117460	82073	77047	57221	38534	45296	5900	14656	24602	26431	5100	7206	32.39	139146	125296	69959	54419	2537	2762783	NA	NA	NA
NC_015470	Chlamydophila psittaci 6BC	331636	PRJNA63621	63621	Chlamydiae/Verrucomicrobia group	Chlamydiae	101314	85376	92779	66223	32321	40739	15077	15517	20958	34154	11053	11248	99965	79097	75280	69828	30799	32772	8652	19752	21955	29605	8808	14209	39.06	21357	21778	15056	12829	967	1171660	NA	Engineered	Host-associated
NC_009727	Coxiella burnetii Dugway 5J108-111	434922	PRJNA58629	58629	Proteobacteria	Gammaproteobacteria	200882	156497	178880	129062	62821	76847	24841	35704	30592	45302	37349	35768	142390	109989	115412	94142	43705	50622	14097	27958	20891	31701	21555	29028	42.44	85276	86183	66159	60370	1993	2158758	HostAssociated	Host-associated	Host-associated
NC_011297	Dictyoglomus thermophilum H-6-12	309799	PRJNA59439	59439	Dictyoglomi	Dictyoglomia	254560	195293	200898	113132	88222	99350	42648	19295	46315	70341	14378	13092	140864	100162	96456	62615	52597	43787	12744	17886	29597	28754	4095	12447	33.74	20544	21486	11773	9077	1912	1959987	Aquatic	Host-associated	Environmental
NC_016935	Paenibacillus mucilaginosus 3016	1116391	PRJNA89377	89377	Firmicutes	Bacilli	912520	752965	1052514	700725	105409	146100	217443	372801	86133	101395	427777	328169	272663	236321	307215	228358	34106	44622	57885	114837	27088	33444	109900	120834	58.31	278156	265114	409352	359785	7057	8739048	NA	Host-associated	Host-associated
NC_008149	Yersinia pestis Nepal516	377628	PRJNA58609	58609	Proteobacteria	Gammaproteobacteria	411827	326401	428193	297091	89368	142204	66052	103536	61085	99259	111157	92380	276549	214125	270707	201606	63150	89450	38473	73366	43698	59405	64684	70578	47.58	134112	137593	127912	117478	3978	4534590	Multiple	Environmental	Environmental
NC_014314	Dehalogenimonas lykanthroporepellens BL-DC-9	552811	PRJNA48131	48131	Chloroflexi	Dehalococcoidetes	128730	105832	149716	96309	23686	26940	23212	49201	13949	23989	43176	51263	123271	99476	140303	91613	23797	23947	20160	48997	13859	20171	40263	50917	55.04	29384	30251	37312	36407	1660	1686510	NA	NA	Engineered
NC_009901	Shewanella pealeana ATCC 700345	398579	PRJNA58705	58705	Proteobacteria	Gammaproteobacteria	468956	359272	460372	308484	105371	157882	79972	104000	86107	131522	77311	80329	359572	261922	322721	237333	83148	104044	48542	91246	66959	84976	45315	76980	44.66	150336	156359	132014	116821	4241	5174581	NA	Host-associated	Host-associated
NC_007712	Sodalis glossinidius str. 'morsitans'	343509	PRJNA58553	58553	Proteobacteria	Gammaproteobacteria	215656	174994	250148	173495	35328	56436	39463	76620	19865	35117	87198	78982	145753	117329	158697	118928	25012	38387	24898	52467	14851	21334	54367	54344	54.7	422270	428853	523282	499188	2432	4171146	HostAssociated	Host-associated	Host-associated
NC_007984	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	374463	PRJNA58111	58111	Proteobacteria	Gammaproteobacteria	54183	39439	40958	30456	16473	21921	3661	6903	12892	16551	2398	3027	68983	49856	52085	38203	20757	27898	4898	8904	16225	20303	3058	3974	33.24	18646	18499	8949	8952	595	686165	HostAssociated	Host-associated	Host-associated
NC_011663	Shewanella baltica OS223	407976	PRJNA58775	58775	Proteobacteria	Gammaproteobacteria	439660	345481	447746	312392	111399	159732	66131	93704	61232	110119	96417	101294	362971	265228	332307	251499	93869	111554	40757	89150	52396	69105	63625	99269	46.31	150275	159744	140176	126541	4257	5145902	Aquatic	Environmental	Environmental
NC_014762	Sulfuricurvum kujiense DSM 16994	709032	PRJNA60789	60789	Proteobacteria	delta/epsilon subdivisions	290803	212910	249217	169467	64196	88007	38076	56841	42233	53084	59053	51793	204354	148285	162109	124593	45442	55303	20544	45462	28452	33561	33767	48994	44.99	17173	17626	14910	13501	2538	2574824	NA	Environmental	Environmental
NC_007481	Pseudoalteromonas haloplanktis TAC125	326442	PRJNA58431	58431	Proteobacteria	Gammaproteobacteria	342239	246071	304938	212296	99858	126098	34693	59869	71478	86832	42805	44635	221521	155173	182819	138106	63648	76144	18686	44009	41964	54128	22422	34584	40.23	63369	63511	44621	40518	2940	3214944	Aquatic	Environmental	Environmental
NC_016863	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	990282	PRJNA87049	87049	Proteobacteria	Gammaproteobacteria	427590	345185	470929	325713	79850	117994	65737	134082	47368	82354	164413	118363	308659	249394	323930	239039	58929	79709	40655	101916	35210	53510	104197	100687	52.21	89748	90581	101190	93436	4455	4817866	NA	Engineered	Host-associated
NC_008601	Francisella novicida U112	401614	PRJNA58499	58499	Proteobacteria	Gammaproteobacteria	239479	169037	174359	111436	71743	97225	26941	22760	48050	65582	11612	9933	142382	99925	91338	66323	42073	51804	9161	18579	28537	35992	4493	8001	32.48	36496	35397	19422	15397	1719	1910031	Multiple	Host-associated	Host-associated
NC_011662	Thauera sp. MZ1T	85643	PRJNA58987	58987	Proteobacteria	Betaproteobacteria	308951	291190	476952	343874	16130	25652	81039	167900	13901	22279	178623	225130	255178	235938	389644	292064	14843	18836	63993	141535	14097	16218	140566	193635	68.4	44321	45983	97091	91488	3905	4496212	Aquatic	NA	Engineered
NC_008254	Chelativorans sp. BNC1	266779	PRJNA58069	58069	Proteobacteria	Alphaproteobacteria	324879	290330	447320	321716	36870	59976	74259	123264	35008	55237	146110	170842	273223	246637	374591	276847	32863	48211	58853	107492	32882	43858	120078	148557	61.07	49452	50953	78489	77808	4064	4412446	Multiple	NA	Engineered
NC_011768	Desulfatibacillum alkenivorans AK-01	439235	PRJNA58913	58913	Proteobacteria	delta/epsilon subdivisions	555020	439604	593049	379137	101216	108233	108396	201845	46367	64691	161419	225791	477805	374771	500932	324907	93248	92894	92564	172806	41489	55198	137967	184142	54.48	132326	129865	156044	156403	5252	6517073	Aquatic	Environmental	Environmental
NC_013956	Pantoea ananatis LMG 20103	706191	PRJNA46807	46807	Proteobacteria	Gammaproteobacteria	411483	337503	465064	329166	69482	105659	67649	144075	48086	80456	155241	132043	295436	244778	325302	240089	50646	76943	47119	104895	34431	56555	105198	99847	53.69	112183	112362	133479	127921	4241	4703373	Multiple	Host-associated	Host-associated
NC_002939	Geobacter sulfurreducens PCA	243231	PRJNA57743	57743	Proteobacteria	delta/epsilon subdivisions	372686	327373	476224	321287	38109	54124	85634	164900	32796	52448	155970	194705	185717	156725	226548	158868	21929	20132	37401	87429	18657	19154	71347	100887	60.94	37079	38641	59920	57667	3441	3814128	Multiple	Host-associated	Environmental
NC_012796	Desulfovibrio magneticus RS-1	573370	PRJNA59309	59309	Proteobacteria	delta/epsilon subdivisions	357153	325125	485244	350415	47947	54704	71280	172812	24001	38689	150813	242777	329650	298968	452018	322670	43069	52749	69828	157330	20861	36710	143427	220629	62.77	86584	85905	134079	137915	4625	5248049	NA	NA	Environmental
NC_016805	Leuconostoc mesenteroides subsp. mesenteroides J18	1107880	PRJNA84337	84337	Firmicutes	Bacilli	281326	201155	231511	160479	75299	106082	33938	38811	65073	74062	28689	24582	66350	48626	47972	37627	17653	23255	5740	11271	13941	16580	4701	7895	37.77	31468	30919	20302	16682	1803	1896561	NA	NA	Engineered
NC_016604	Mycobacterium rhodesiae NBB3	710685	PRJNA75107	75107	Actinobacteria	Actinobacteria	483432	444659	740031	520339	39021	60748	111882	255077	55722	62741	279708	285745	355054	327917	535488	388810	28597	42173	77678	190085	43262	41591	196517	219894	65.49	58564	58793	110751	107913	6147	6415739	NA	Environmental	Environmental
NC_011094	Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633	439843	PRJNA58915	58915	Proteobacteria	Gammaproteobacteria	413979	333974	454118	315081	77672	114278	63475	129244	46285	80683	157736	113751	292535	237138	307964	227784	55576	75690	38411	96576	33376	50666	99513	96384	52.17	105729	108029	120654	111777	4501	4709075	Multiple	NA	Engineered
NC_016010	Xanthomonas axonopodis pv. citrumelo F1	981368	PRJNA73179	73179	Proteobacteria	Gammaproteobacteria	358374	313878	523192	375182	33251	67708	87017	176971	28820	39502	208315	199463	264978	227988	373840	282080	25952	44298	57241	136844	22440	24612	144765	156894	64.92	85621	87979	162260	155758	4181	4967469	NA	NA	NA
NC_010169	Brucella suis ATCC 23445	470137	PRJNA59015	59015	Proteobacteria	Alphaproteobacteria	156453	132944	197275	143481	20633	35680	30147	47255	14535	32586	62605	69619	109668	91534	131740	101584	15572	23684	18599	34874	12569	19133	38163	52429	57.12	40686	43416	57406	54638	1922	1923763	HostAssociated	Engineered	Host-associated
NC_015711	Myxococcus fulvus HW-1	483219	PRJNA68443	68443	Proteobacteria	delta/epsilon subdivisions	572893	554306	951478	681865	18425	35290	186081	363952	21469	33375	468861	389211	487637	453178	766509	584626	18382	23311	144841	308049	21425	23374	339610	364962	70.63	96107	101116	245487	229969	7284	9003593	Aquatic	Environmental	Environmental
NC_009004	Lactococcus lactis subsp. cremoris MG1363	416870	PRJNA58837	58837	Firmicutes	Bacilli	363030	256381	284367	194886	113238	130118	32017	42357	76766	97340	28354	30945	81292	58544	59337	45544	24554	27377	5927	11498	14657	23362	4532	9727	35.75	92659	86435	54400	45337	2435	2529478	Multiple	NA	NA
NC_012985	Candidatus Liberibacter asiaticus str. psy62	537021	PRJNA59227	59227	Proteobacteria	Alphaproteobacteria	105698	90888	96153	65186	29735	46055	14727	10978	20563	37311	12551	8320	85221	62024	60437	50532	25256	28902	6357	11904	18227	20533	5756	10170	36.47	58944	66630	39628	32226	1109	1227328	NA	Host-associated	Host-associated
NC_012039	Campylobacter lari RM2100	306263	PRJNA58115	58115	Proteobacteria	delta/epsilon subdivisions	211885	140501	141254	80130	79066	93298	16210	12655	29924	48024	8497	7203	127553	83289	77082	48807	46922	52945	6093	10967	18631	26396	3522	6052	29.7	14962	15088	6842	5652	1503	1525460	Multiple	NA	Host-associated
NC_003198	Salmonella enterica subsp. enterica serovar Typhi str. CT18	220341	PRJNA57793	57793	Proteobacteria	Gammaproteobacteria	407104	329131	448638	310141	76486	112320	62906	127890	45889	79761	154983	112150	295352	238353	311285	229409	56414	76488	39940	97317	34115	52062	100684	95099	52.09	130447	133951	149889	139927	4392	4809037	HostAssociated	NA	NA
NC_015516	Melissococcus plutonius ATCC 35311	940190	PRJNA66803	66803	Firmicutes	Bacilli	253052	166744	175853	118999	86370	98693	20346	21769	55707	54261	12412	14724	77882	54929	51627	38148	26225	30948	5621	7443	16548	17903	3406	5322	31.43	113735	104848	53925	44946	1742	1891014	NA	NA	Host-associated
NC_007880	Francisella tularensis subsp. holarctica LVS	376619	PRJNA58595	58595	Proteobacteria	Gammaproteobacteria	209078	147375	149850	96680	63153	83957	22283	20487	41492	56647	9560	8706	140493	99360	91079	64394	42034	53070	10554	17184	27881	35052	4766	7387	32.15	86768	86687	43766	37621	1812	1895994	HostAssociated	Host-associated	Host-associated
NC_006156	Borrelia garinii PBi	290434	PRJNA58125	58125	Spirochaetes	Spirochaetia	127658	96486	80467	46054	40977	57088	15100	7930	16381	32927	4734	5045	78653	46152	34532	24955	26923	22080	3184	9791	14054	9494	1576	3113	28.3	7854	8645	4125	2716	829	904246	HostAssociated	Environmental	Host-associated
NC_010995	Cellvibrio japonicus Ueda107	498211	PRJNA59139	59139	Proteobacteria	Gammaproteobacteria	439048	352372	482340	340376	74874	145811	84210	120959	56758	92057	125526	141678	294333	221322	293695	224654	54402	78780	43190	97294	39462	43124	69251	111059	51.99	60130	64604	70663	63664	3750	4576573	Terrestrial	Environmental	Environmental
NC_015424	Aeromonas veronii B565	998088	PRJNA66323	66323	Proteobacteria	Gammaproteobacteria	359508	298329	426423	291916	34682	75032	87670	143833	24461	56646	141583	157142	301260	245859	338492	251593	31372	50924	65602	132430	21414	32370	108162	152046	58.72	71270	74081	108077	98630	4028	4551783	NA	Engineered	Environmental
NC_015601	Erysipelothrix rhusiopathiae	1648	PRJNA68021	68021	Firmicutes	Erysipelotrichi	272372	197476	216204	142841	78059	100720	22207	32388	61889	65280	26755	20571	70230	52007	49255	38377	18926	24692	4462	10646	15272	16021	5026	7511	36.56	24395	22579	14893	11836	1697	1787941	HostAssociated	NA	Host-associated
NC_000962	Mycobacterium tuberculosis H37Rv	83332	PRJNA57777	57777	Actinobacteria	Actinobacteria	317072	300835	524740	354409	28416	53734	74219	173417	39213	50733	202186	190327	227675	209785	368823	258062	21296	33213	45501	127084	32911	31206	130532	149602	65.61	36016	37751	72195	68175	4003	4411532	HostAssociated	Host-associated	Host-associated
NC_015565	Desulfotomaculum carboxydivorans CO-1-SRB	868595	PRJNA67317	67317	Firmicutes	Clostridia	370196	277504	367930	223112	97943	109321	62052	93920	48712	73169	84005	94552	87021	67521	80194	53181	23294	26198	12927	22584	11851	17763	16712	22181	46.63	84385	78779	74084	64101	2658	2892255	NA	NA	Engineered
NC_007354	Ehrlichia canis str. Jake	269484	PRJNA58071	58071	Proteobacteria	Alphaproteobacteria	125131	93726	94553	52979	40024	60401	14665	7893	23125	35177	6441	2207	89450	58615	50302	38883	28245	30824	4240	12734	22958	14670	1778	3441	28.96	102754	117993	54118	36006	925	1315030	HostAssociated	Host-associated	Host-associated
NC_015435	Metallosphaera cuprina Ar-4	1006006	PRJNA66329	66329	Crenarchaeota	Thermoprotei	175515	145430	155598	94883	49211	42302	39051	44576	36682	43427	23412	23383	139397	113482	124491	73897	40336	33410	31104	34614	28940	34164	18348	18120	41.99	38569	38568	28226	28914	2029	1840348	NA	Host-associated	NA
NC_014639	Bacillus atrophaeus 1942	720555	PRJNA59887	59887	Firmicutes	Bacilli	551940	395341	472787	317388	151213	153277	74781	108637	94775	100173	107829	85437	183631	139073	150334	110038	49677	52443	21555	38757	32367	33286	31722	33028	43.22	89748	83791	67801	59824	4186	4168266	NA	NA	NA
NC_016510	Flavobacterium columnare ATCC 49512	1041826	PRJNA80731	80731	Bacteroidetes/Chlorobi group	Bacteroidetes	328410	219670	214880	144029	113593	125391	21396	34863	65695	68246	15732	18822	299271	197486	190661	130579	102569	110512	16438	35140	58411	62448	12023	19038	31.46	103741	102726	48324	46499	2642	3162432	NA	NA	Host-associated
NC_012926	Streptococcus suis BM407	568814	PRJNA59321	59321	Firmicutes	Bacilli	291999	213382	251062	169687	69713	96961	48754	50127	58594	76127	32029	40061	74952	55586	57309	44066	18175	21248	8610	16809	14234	18257	5389	13446	41.06	70092	67999	52548	43645	1933	2146229	Multiple	NA	Host-associated
NC_012808	Methylobacterium extorquens AM1	272630	PRJNA57605	57605	Proteobacteria	Alphaproteobacteria	319502	299363	513708	388095	16508	31231	78806	166289	15512	25018	194096	258719	288531	274541	477046	358728	15005	29585	71198	153383	14344	23251	180723	238223	68.71	110154	111162	239058	239693	4953	5511322	Multiple	Environmental	Environmental
NC_005139	Vibrio vulnificus YJ016	196600	PRJNA58007	58007	Proteobacteria	Gammaproteobacteria	338946	263997	334538	230661	82113	104037	53217	80705	56455	87294	72523	60410	220484	166963	203445	155190	53048	59003	28332	58967	36412	50218	39354	51401	46.41	55642	57778	50957	44102	3259	3354505	Aquatic	NA	Engineered
NC_016052	Tetragenococcus halophilus	51669	PRJNA74441	74441	Firmicutes	Bacilli	360677	244416	283935	180867	121926	138229	32439	41448	68309	84446	32682	28910	116612	81395	86027	60730	38685	43969	8743	16051	21360	26910	8832	12071	36.04	63545	59329	38373	30873	2555	2562720	NA	NA	Engineered
NC_008527	Lactococcus lactis subsp. cremoris SK11	272622	PRJNA57983	57983	Firmicutes	Bacilli	341323	241974	267948	183361	106073	121889	30535	40867	71982	91533	26972	29537	79250	58791	58424	45798	23718	27072	5967	11594	14967	23461	4557	9536	35.86	97368	90641	57038	47477	2384	2438589	Multiple	NA	NA
