"abbreviation"	"name"	"equation"	"reversible"	"compartment"	"lowbnd"	"uppbnd"	"obj_coef"	"rule"	"subsystem"
"BUTt2rpp"	"Butyrate transport via proton symport, reversible (periplasm)"	"but[p] + h[p] <==> but[c] + h[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	"(b2223)"	"Transport, Inner Membrane"
"BUTtex"	"Butyrate transport via diffusion (extracellular to periplasm)"	"but[e] <==> but[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CA2t3pp"	"calcium (Ca+2) transport out via proton antiport (periplasm)"	"ca2[c] + h[p] --> ca2[p] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b1216)"	"Inorganic Ion Transport and Metabolism"
"CA2tex"	"calcium (Ca+2) transport via diffusion (extracellular to periplasm)"	"ca2[e] <==> ca2[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CADVtpp"	"Lysine/Cadaverine antiporter (periplasm)"	"15dap[c] + h[p] + lys_DASH_L[p] --> 15dap[p] + h[c] + lys_DASH_L[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b4132)"	"Transport, Inner Membrane"
"CAT"	"catalase"	"[c] : (2) h2o2 --> (2) h2o + o2"	"Irreversible"	"C_c"	0	0	0	"(b1732) or (b3942)"	"Unassigned"
"CAt6pp"	"calcium / sodium antiporter (1:1)"	"ca2[c] + na1[p] <==> ca2[p] + na1[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	"(b3196)"	"Inorganic Ion Transport and Metabolism"
"CBIAT"	"Cobinamide adenyltransferase"	"[c] : atp + cbi + h <==> adocbi + pppi"	"Reversible"	"C_c"	-1000	1000	0	"(b1270)"	"Cofactor and Prosthetic Group Biosynthesis"
"CBItonex"	"Cobinamide transport via ton system (extermal)"	"cbi[e] + h[p] --> cbi[p] + h[c]"	"Irreversible"	"C_e, C_p, C_c"	0	1000	0	"(b3005 and b3006 and b1252) and (b3966)"	"Transport, Outer Membrane"
"CBIuabcpp"	"Cobinamide transport via ABC system (uptake, periplasm)"	"atp[c] + cbi[p] + h2o[c] --> adp[c] + cbi[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b1709) and (b0158) and (b1711)"	"Transport, Inner Membrane"
"CBL1abcpp"	"Cob(1)alamin transport via ABC system (periplasm)"	"atp[c] + cbl1[p] + h2o[c] --> adp[c] + cbl1[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b1709) and (b0158) and (b1711)"	"Transport, Inner Membrane"
"CBL1tonex"	"Cob(1)alamin transport via ton system (extermal)"	"cbl1[e] + h[p] --> cbl1[p] + h[c]"	"Irreversible"	"C_e, C_p, C_c"	0	1000	0	"(b3005 and b3006 and b1252) and (b3966)"	"Transport, Outer Membrane"
"CBLAT"	"cob(I)alamin adenosyltransferase"	"[c] : atp + cbl1 + h <==> adocbl + pppi"	"Reversible"	"C_c"	-1000	1000	0	"(b1270)"	"Cofactor and Prosthetic Group Biosynthesis"
"CBMKr"	"Carbamate kinase"	"[c] : atp + co2 + nh4 <==> adp + cbp + (2) h"	"Reversible"	"C_c"	-1000	1000	0	"(b0521) or (b2874) or (b0323)"	"Unassigned"
"CBPS"	"carbamoyl-phosphate synthase (glutamine-hydrolysing)"	"[c] : (2) atp + gln_DASH_L + h2o + hco3 --> (2) adp + cbp + glu_DASH_L + (2) h + pi"	"Irreversible"	"C_c"	0	1000	0	"(b0032 and b0033)"	"Arginine and Proline Metabolism"
"CD2abcpp"	"Cadmium (Cd+2) ABC transporter (periplasm)"	"atp[c] + cd2[c] + h2o[c] --> adp[c] + cd2[p] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3469)"	"Inorganic Ion Transport and Metabolism"
"CD2t3pp"	"cadmium (Cd+2) transport out via proton antiport (periplasm)"	"cd2[c] + h[p] --> cd2[p] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0752) or (b3915)"	"Inorganic Ion Transport and Metabolism"
"CD2tex"	"cadmium (Cd+2) transport via diffusion (extracellular to periplasm)"	"cd2[e] <==> cd2[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CD2tpp"	"cadmium (+2) transport in via permease (no H+)"	"cd2[p] --> cd2[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3040)"	"Inorganic Ion Transport and Metabolism"
"CDAPPA120"	"CDP-Diacylglycerol pyrophostatase (n-C12:0)"	"[c] : cdpdddecg + h2o --> cmp + (2) h + pa120"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDAPPA140"	"CDP-Diacylglycerol pyrophostatase (n-C14:0)"	"[c] : cdpdtdecg + h2o --> cmp + (2) h + pa140"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDAPPA141"	"CDP-Diacylglycerol pyrophostatase (n-C14:1)"	"[c] : cdpdtdec7eg + h2o --> cmp + (2) h + pa141"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDAPPA160"	"CDP-Diacylglycerol pyrophostatase (n-C16:0)"	"[c] : cdpdhdecg + h2o --> cmp + (2) h + pa160"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDAPPA161"	"CDP-Diacylglycerol pyrophostatase (n-C16:1)"	"[c] : cdpdhdec9eg + h2o --> cmp + (2) h + pa161"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDAPPA180"	"CDP-Diacylglycerol pyrophostatase (n-C18:0)"	"[c] : cdpdodecg + h2o --> cmp + (2) h + pa180"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDAPPA181"	"CDP-Diacylglycerol pyrophostatase (n-C18:1)"	"[c] : cdpdodec11eg + h2o --> cmp + (2) h + pa181"	"Irreversible"	"C_c"	0	1000	0	"(b3918)"	"Glycerophospholipid Metabolism"
"CDPMEK"	" 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase"	"[c] : 4c2me + atp --> 2p4c2me + adp + h"	"Irreversible"	"C_c"	0	1000	0	"(b1208)"	"Cofactor and Prosthetic Group Biosynthesis"
"CFAS160E"	"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C16:0)"	"[c] : (2) amet + pe161 --> (2) ahcys + cpe160 + (2) h"	"Irreversible"	"C_c"	0	1000	0	"(b1661)"	"Glycerophospholipid Metabolism"
"CFAS160G"	"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C16:0)"	"[c] : (2) amet + pg161 --> (2) ahcys + cpg160 + (2) h"	"Irreversible"	"C_c"	0	1000	0	"(b1661)"	"Glycerophospholipid Metabolism"
"CFAS180E"	"cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)"	"[c] : (2) amet + pe181 --> (2) ahcys + cpe180 + (2) h"	"Irreversible"	"C_c"	0	1000	0	"(b1661)"	"Glycerophospholipid Metabolism"
"CFAS180G"	"cyclopropane fatty acid synthase (Phosphatidylglycerol, n-C18:0)"	"[c] : (2) amet + pg181 --> (2) ahcys + cpg180 + (2) h"	"Irreversible"	"C_c"	0	1000	0	"(b1661)"	"Glycerophospholipid Metabolism"
"CGLYabcpp"	"L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm)"	"atp[c] + cgly[p] + h2o[c] --> adp[c] + cgly[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3543) and (b3540) and (b3541) and (b3542) and (b3544)"	"Transport, Inner Membrane"
"CGLYtex"	"L-Cysteinylglycine transport via diffusion (extracellular to periplasm)"	"cgly[e] <==> cgly[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CHLabcpp"	"choline transport via ABC system (periplasm)"	"atp[c] + chol[p] + h2o[c] --> adp[c] + chol[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2130) and (b2131) and (b2128) and (b2129)"	"Transport, Inner Membrane"
"CHLt2pp"	"choline transport via proton symport (periplasm)"	"chol[p] + h[p] --> chol[c] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0314) or (b1801)"	"Transport, Inner Membrane"
"CHLtex"	"choline transport via diffusion (extracellular to periplasm)"	"chol[e] <==> chol[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CHORM"	"chorismate mutase"	"[c] : chor --> pphn"	"Irreversible"	"C_c"	0	1000	0	"(b2599) or (b2600)"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
"CHORS"	"chorismate synthase"	"[c] : 3psme --> chor + pi"	"Irreversible"	"C_c"	0	1000	0	"(b2329)"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
"CHRPL"	"Chorismate pyruvate lyase"	"[c] : chor --> 4hbz + pyr"	"Irreversible"	"C_c"	0	1000	0	"(b4039)"	"Cofactor and Prosthetic Group Biosynthesis"
"CINNDO"	"Cinnamate dioxygenase"	"[c] : cinnm + h + nadh + o2 --> cenchddd + nad"	"Irreversible"	"C_c"	0	1000	0	"(b2542 and b2539 and b2538 and b2540)"	"Alternate Carbon Metabolism"
"CITL"	"Citrate lyase"	"[c] : cit --> ac + oaa"	"Irreversible"	"C_c"	0	1000	0	"(b0615 and b0616 and b0617) and (b0614)"	"Citric Acid Cycle"
"CITt7pp"	"Citrate transport via succinate antiport (periplasm)"	"cit[p] + succ[c] --> cit[c] + succ[p]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0612)"	"Transport, Inner Membrane"
"CITtex"	"citrate transport via diffusion (extracellular to periplasm)"	"cit[e] <==> cit[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CLIPAtex"	"cold lipid A transport via vector (periplasm to extracellular)"	"lipa_cold[p] --> lipa_cold[e]"	"Irreversible"	"C_e, C_p"	0	1000	0	""	"Lipopolysaccharide Biosynthesis / Recycling"
"CLPNH120pp"	"cardiolipin hydrolase (periplasm, n-C12:0)"	"[p] : clpn120 + h2o --> h + pa120 + pg120"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNH140pp"	"cardiolipin hydrolase (periplasm, n-C14:0)"	"[p] : clpn140 + h2o --> h + pa140 + pg140"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNH141pp"	"cardiolipin hydrolase (periplasm, n-C14:1)"	"[p] : clpn141 + h2o --> h + pa141 + pg141"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNH160pp"	"cardiolipin hydrolase (periplasm, n-C16:0)"	"[p] : clpn160 + h2o --> h + pa160 + pg160"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNH161pp"	"cardiolipin hydrolase (periplasm, n-C16:1)"	"[p] : clpn161 + h2o --> h + pa161 + pg161"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNH180pp"	"cardiolipin hydrolase (periplasm, n-C18:0)"	"[p] : clpn180 + h2o --> h + pa180 + pg180"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNH181pp"	"cardiolipin hydrolase (periplasm, n-C18:1)"	"[p] : clpn181 + h2o --> h + pa181 + pg181"	"Irreversible"	"C_p"	0	1000	0	""	"Glycerophospholipid Metabolism"
"CLPNS120pp"	"cardiolipin synthase (periplasmic, n-C12:0)"	"[p] : (2) pg120 <==> clpn120 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b1249) or (b0789)"	"Glycerophospholipid Metabolism"
"CLPNS140pp"	"cardiolipin synthase (periplasmic, n-C14:0)"	"[p] : (2) pg140 <==> clpn140 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b1249) or (b0789)"	"Glycerophospholipid Metabolism"
"CLPNS141pp"	"cardiolipin synthase (periplasmic, n-C14:1)"	"[p] : (2) pg141 <==> clpn141 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b0789) or (b1249)"	"Glycerophospholipid Metabolism"
"CLPNS160pp"	"cardiolipin synthase (periplasmic, n-C16:0)"	"[p] : (2) pg160 <==> clpn160 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b0789) or (b1249)"	"Glycerophospholipid Metabolism"
"CLPNS161pp"	"cardiolipin synthase (periplasmic, n-C16:1)"	"[p] : (2) pg161 <==> clpn161 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b1249) or (b0789)"	"Glycerophospholipid Metabolism"
"CLPNS180pp"	"cardiolipin synthase (periplasmic, n-C18:0)"	"[p] : (2) pg180 <==> clpn180 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b0789) or (b1249)"	"Glycerophospholipid Metabolism"
"CLPNS181pp"	"cardiolipin synthase (periplasmic, n-C18:1)"	"[p] : (2) pg181 <==> clpn181 + glyc"	"Reversible"	"C_p"	-1000	1000	0	"(b0789) or (b1249)"	"Glycerophospholipid Metabolism"
"CLt3_2pp"	"chloride transport out via proton antiport (2:1) (periplasm)"	"(2) cl[p] + h[c] --> (2) cl[c] + h[p]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b1592) or (b0155)"	"Inorganic Ion Transport and Metabolism"
"CLtex"	"chloride (Cl-1) transport via diffusion (extracellular to periplasm)"	"cl[e] <==> cl[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CMPN"	"CMP nucleosidase"	"[c] : cmp + h2o --> csn + r5p"	"Irreversible"	"C_c"	0	1000	0	""	"Nucleotide Salvage Pathway"
"CMPtex"	"CMP transport via diffusion (extracellular to periplasm)"	"cmp[e] <==> cmp[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CO2tex"	"CO2 transport via diffusion (extracellular to periplasm)"	"co2[e] <==> co2[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CO2tpp"	"CO2 transporter via diffusion (periplasm)"	"co2[p] <==> co2[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	"(s0001)"	"Transport, Inner Membrane"
"COBALT2abcpp"	"Cobalt (Co+2) ABC transporter (periplasm)"	"atp[c] + cobalt2[c] + h2o[c] --> adp[c] + cobalt2[p] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3469)"	"Inorganic Ion Transport and Metabolism"
"COBALT2t3pp"	"cobalt (Co+2) transport out via proton antiport (periplasm)"	"cobalt2[c] + h[p] --> cobalt2[p] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3915) or (b0752)"	"Inorganic Ion Transport and Metabolism"
"COBALT2tex"	"cobalt (Co+2) transport via diffusion (extracellular to periplasm)"	"cobalt2[e] <==> cobalt2[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"COBALT2tpp"	"cobalt transport in via permease (no H+)"	"cobalt2[p] --> cobalt2[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3040) or (b3816)"	"Inorganic Ion Transport and Metabolism"
"COLIPAabcpp"	"core oligosaccharide lipid A transport via ABC system (periplasm)"	"atp[c] + colipa[c] + h2o[c] --> adp[c] + colipa[p] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0914)"	"Lipopolysaccharide Biosynthesis / Recycling"
"COLIPAtex"	"core oligosaccharide lipid A transport via vector (periplasm to extracellular)"	"colipa[p] --> colipa[e]"	"Irreversible"	"C_e, C_p"	0	1000	0	""	"Lipopolysaccharide Biosynthesis / Recycling"
"CPGNR1"	"coprogen(Fe(III)) reductase"	"[c] : (2) cpgn + fadh2 --> (2) cpgn_DASH_un + fad + (2) fe2 + (2) h"	"Irreversible"	"C_c"	0	1000	0	""	"Inorganic Ion Transport and Metabolism"
"CPGNR2"	"coprogen(Fe(III)) reductase"	"[c] : (2) cpgn + fmnh2 --> (2) cpgn_DASH_un + (2) fe2 + fmn + (2) h"	"Irreversible"	"C_c"	0	1000	0	""	"Inorganic Ion Transport and Metabolism"
"CPGNR3"	"coprogen(Fe(III)) reductase"	"[c] : (2) cpgn + rbflvrd --> (2) cpgn_DASH_un + (2) fe2 + (2) h + ribflv"	"Irreversible"	"C_c"	0	1000	0	""	"Inorganic Ion Transport and Metabolism"
"CPGNUtex"	"coprogen unloaded secretion (extracellular)"	"cpgn_DASH_un[p] + h[p] --> cpgn_DASH_un[e] + h[c]"	"Irreversible"	"C_e, C_p, C_c"	0	1000	0	""	"Inorganic Ion Transport and Metabolism"
"CPGNUtpp"	"coprogen unloaded secretion"	"cpgn_DASH_un[c] + h[p] --> cpgn_DASH_un[p] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Inorganic Ion Transport and Metabolism"
"CPGNabcpp"	"coprogen transport via ABC system (periplasm)"	"atp[c] + cpgn[p] + h2o[c] --> adp[c] + cpgn[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0152) and (b0153) and (b0151)"	"Transport, Inner Membrane"
"CPGNexs"	"coprogen Fe-loading reaction (spontaneaous)"	"[e] : cpgn_DASH_un + fe3 --> cpgn"	"Irreversible"	"C_e"	0	1000	0	"(s0001)"	"Inorganic Ion Transport and Metabolism"
"CPGNtonex"	"Coprogen transport via ton system (extracellular)"	"cpgn[e] + h[p] --> cpgn[p] + h[c]"	"Irreversible"	"C_e, C_p, C_c"	0	1000	0	"(b3005 and b3006 and b1252) and (b1102)"	"Transport, Outer Membrane"
"CPPPGO"	"coproporphyrinogen oxidase (O2 required)"	"[c] : cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9"	"Irreversible"	"C_c"	0	1000	0	"(b2436)"	"Cofactor and Prosthetic Group Biosynthesis"
"CPPPGO2"	"Oxygen Independent coproporphyrinogen-III oxidase"	"[c] : (2) amet + cpppg3 --> (2) co2 + (2) dad_DASH_5 + (2) met_DASH_L + pppg9"	"Irreversible"	"C_c"	0	1000	0	"(b3867)"	"Cofactor and Prosthetic Group Biosynthesis"
"CRNBTCT"	"gamma-butyrobetainyl-CoA: carnitine CoA transferase"	"[c] : bbtcoa + crn <==> crncoa + gbbtn"	"Reversible"	"C_c"	-1000	1000	0	"(b0038)"	"Oxidative Phosphorylation"
"CRNCAL2"	"Carnitine-CoA Ligase"	"[c] : atp + coa + crn --> adp + crncoa + pi"	"Irreversible"	"C_c"	0	1000	0	"(b0037)"	"Oxidative Phosphorylation"
"CRNCAR"	"carnitine-CoA racemase"	"[c] : crncoa <==> crnDcoa"	"Reversible"	"C_c"	-1000	1000	0	"(b0036)"	"Oxidative Phosphorylation"
"CRNCBCT"	"crotonobetainyl-CoA: carnitine CoA transferase"	"[c] : crn + ctbtcoa <==> crncoa + ctbt"	"Reversible"	"C_c"	-1000	1000	0	"(b0038)"	"Oxidative Phosphorylation"
"CRNCDH"	"Carnityl-CoA dehydratse"	"[c] : crncoa <==> ctbtcoa + h2o"	"Reversible"	"C_c"	-1000	1000	0	"(b0036)"	"Oxidative Phosphorylation"
"CRNDCAL2"	"D-Carnitine-CoA Ligase"	"[c] : atp + coa + crn_DASH_D --> adp + crnDcoa + pi"	"Irreversible"	"C_c"	0	1000	0	"(b0037)"	"Oxidative Phosphorylation"
"CRNDabcpp"	"D-carnitine transport via ABC system (periplasm)"	"atp[c] + crn_DASH_D[p] + h2o[c] --> adp[c] + crn_DASH_D[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2677) and (b2679) and (b2678)"	"Transport, Inner Membrane"
"CRNDt2rpp"	"D-carnitine outward transport (H+ antiport)"	"crn_DASH_D[p] + h[p] <==> crn_DASH_D[c] + h[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	"(b4111)"	"Transport, Inner Membrane"
"CRNabcpp"	"L-carnitine transport via ABC system (periplasm)"	"atp[c] + crn[p] + h2o[c] --> adp[c] + crn[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2677) and (b2679) and (b2678)"	"Transport, Inner Membrane"
"CRNt2rpp"	"L-carnitine outward transport (H+ antiport)"	"crn[p] + h[p] <==> crn[c] + h[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	"(b4111)"	"Transport, Inner Membrane"
"CRNt7pp"	"Carnitine/butyrobetaine antiporter (periplasm)"	"crn[p] + gbbtn[c] --> crn[c] + gbbtn[p]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0040)"	"Transport, Inner Membrane"
"CRNt8pp"	"L-carnitine/D-carnitine antiporter (periplasm)"	"crn_DASH_D[c] + crn[p] --> crn_DASH_D[p] + crn[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0040)"	"Transport, Inner Membrane"
"CRNtex"	"L-carnitine transport via diffusion (extracellular to periplasm)"	"crn[e] <==> crn[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CS"	"citrate synthase"	"[c] : accoa + h2o + oaa --> cit + coa + h"	"Irreversible"	"C_c"	0	1000	0	"(b0720)"	"Citric Acid Cycle"
"CSND"	"Cytosine deaminase"	"[c] : csn + h2o + h --> nh4 + ura"	"Irreversible"	"C_c"	0	1000	0	"(b0337)"	"Nucleotide Salvage Pathway"
"CSNt2pp"	"cytosine transport in via proton symport (periplasm)"	"csn[p] + h[p] --> csn[c] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0336)"	"Transport, Inner Membrane"
"CSNtex"	"cytosine transport via diffusion (extracellular to periplasm)"	"csn[e] <==> csn[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b0241) or (b0929) or (b2215) or (b1377)"	"Transport, Outer Membrane Porin"
"CTBTCAL2"	"Crotonobetaine-CoA Ligase"	"[c] : atp + coa + ctbt --> adp + ctbtcoa + pi"	"Irreversible"	"C_c"	0	1000	0	"(b0037)"	"Oxidative Phosphorylation"
"CTBTabcpp"	"crotonobetaine transport via ABC system (periplasm)"	"atp[c] + ctbt[p] + h2o[c] --> adp[c] + ctbt[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b2679) and (b2677) and (b2678)"	"Transport, Inner Membrane"
"CTBTt2rpp"	"cronobetaine outward transport (H+ antiport)"	"ctbt[p] + h[p] <==> ctbt[c] + h[c]"	"Reversible"	"C_c, C_p"	-1000	1000	0	"(b4111)"	"Transport, Inner Membrane"
"CTPS2"	"CTP synthase (glutamine)"	"[c] : atp + gln_DASH_L + h2o + utp --> adp + ctp + glu_DASH_L + (2) h + pi"	"Irreversible"	"C_c"	0	1000	0	"(b2780)"	"Purine and Pyrimidine Biosynthesis"
"CU1Opp"	"Cuprous Oxidase (Cu+1)"	"[p] : (4) cu + (4) h + o2 --> (4) cu2 + (2) h2o"	"Irreversible"	"C_p"	0	1000	0	"(b0123)"	"Inorganic Ion Transport and Metabolism"
"CU1abcpp"	"Copper (Cu +1) ABC transporter (periplasm)"	"atp[c] + cu[c] + h2o[c] --> adp[c] + cu[p] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0484)"	"Inorganic Ion Transport and Metabolism"
"CU2abcpp"	"Copper (Cu+2) ABC transporter (periplasm)"	"atp[c] + cu2[c] + h2o[c] --> adp[c] + cu2[p] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3469)"	"Inorganic Ion Transport and Metabolism"
"CU2tex"	"copper (Cu+2) transport via diffusion (extracellular to periplasm)"	"cu2[e] <==> cu2[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b1377) or (b0241) or (b2215) or (b0929)"	"Transport, Outer Membrane Porin"
"CU2tpp"	"copper transport in via permease (no H+)"	"cu2[p] --> cu2[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b3040)"	"Inorganic Ion Transport and Metabolism"
"CUt3"	"copper transport out via proton antiport"	"cu[c] + h[e] --> cu[e] + h[c]"	"Irreversible"	"C_c, C_e"	0	1000	0	"(b0574 and b0572 and b0575 and b0573)"	"Transport, Outer Membrane"
"CUtex"	"copper (Cu+1) transport via diffusion (extracellular to periplasm)"	"cu[e] <==> cu[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CYANST"	"Cyanide sulfurtransferase"	"[c] : cyan + tsul --> h + so3 + tcynt"	"Irreversible"	"C_c"	0	1000	0	"(b3425)"	"Unassigned"
"CYANSTpp"	"Cyanide sulfurtransferase (periplasmic)"	"[p] : cyan + tsul --> h + so3 + tcynt"	"Irreversible"	"C_p"	0	1000	0	"(b1308)"	"Inorganic Ion Transport and Metabolism"
"CYANtex"	"Cyanide transport via diffusion (extracellular to periplasm)"	"cyan[e] <==> cyan[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CYNTAH"	"Cyanate aminohydrolase"	"[c] : cynt + (3) h + hco3 --> (2) co2 + nh4"	"Irreversible"	"C_c"	0	1000	0	"(b0340)"	"Nitrogen Metabolism"
"CYNTt2pp"	"Cyanate transport via proton symport (periplasm)"	"cynt[p] + h[p] --> cynt[c] + h[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	"(b0341)"	"Transport, Inner Membrane"
"CYNTtex"	"Cyanate transport via diffusion (extracellular to periplasm)"	"cynt[e] <==> cynt[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CYSDDS"	"D-cysteine desulfhydrase"	"[c] : cys_DASH_D + h2o --> h2s + nh4 + pyr"	"Irreversible"	"C_c"	0	1000	0	"(b1919)"	"Cysteine Metabolism"
"CYSDS"	"Cysteine Desulfhydrase"	"[c] : cys_DASH_L + h2o --> h2s + nh4 + pyr"	"Irreversible"	"C_c"	0	1000	0	"(b3708) or (b3008)"	"Cysteine Metabolism"
"CYSDabcpp"	"D-cysteine uptake via ABC system (periplasm)"	"atp[c] + cys_DASH_D[p] + h2o[c] --> adp[c] + cys_DASH_D[c] + h[c] + pi[c]"	"Irreversible"	"C_c, C_p"	0	1000	0	""	"Transport, Inner Membrane"
"CYSDtex"	"D-cysteine transport via diffusion (extracellular to periplasm)"	"cys_DASH_D[e] <==> cys_DASH_D[p]"	"Reversible"	"C_e, C_p"	-1000	1000	0	"(b2215) or (b0241) or (b1377) or (b0929)"	"Transport, Outer Membrane Porin"
"CYSS"	"cysteine synthase"	"[c] : acser + h2s --> ac + cys_DASH_L + h"	"Irreversible"	"C_c"	0	1000	0	"(b2414) or (b2421)"	"Cysteine Metabolism"
